description,attribute,metric,value
Total COVID-19 Tests Performed in Colorado by County,Delta,Percent of tests by PCR,93.54
Total COVID-19 Tests Performed in Colorado by County,Delta,Percent of tests by Serology,6.46
Total COVID-19 Tests Performed in Colorado by County,Denver,Total Tests Performed,35297
Total COVID-19 Tests Performed in Colorado by County,Denver,Percent of tests by PCR,76.35
Total COVID-19 Tests Performed in Colorado by County,Denver,Percent of tests by Serology,23.65
Total COVID-19 Tests Performed in Colorado by County,Dolores,Total Tests Performed,11
Total COVID-19 Tests Performed in Colorado by County,Dolores,Percent of tests by PCR,100
Total COVID-19 Tests Performed in Colorado by County,Dolores,Percent of tests by Serology,0
Total COVID-19 Tests Performed in Colorado by County,Douglas,Total Tests Performed,11225
Total COVID-19 Tests Performed in Colorado by County,Douglas,Percent of tests by PCR,56.8
Total COVID-19 Tests Performed in Colorado by County,Douglas,Percent of tests by Serology,43.2
Total COVID-19 Tests Performed in Colorado by County,Eagle,Total Tests Performed,7393
Total COVID-19 Tests Performed in Colorado by County,Eagle,Percent of tests by PCR,38.51
Total COVID-19 Tests Performed in Colorado by County,Eagle,Percent of tests by Serology,61.49
Total COVID-19 Tests Performed in Colorado by County,El Paso,Total Tests Performed,20943
Total COVID-19 Tests Performed in Colorado by County,El Paso,Percent of tests by PCR,83.75
Total COVID-19 Tests Performed in Colorado by County,El Paso,Percent of tests by Serology,16.25
Total COVID-19 Tests Performed in Colorado by County,Elbert,Total Tests Performed,636
Total COVID-19 Tests Performed in Colorado by County,Elbert,Percent of tests by PCR,65.25
Total COVID-19 Tests Performed in Colorado by County,Elbert,Percent of tests by Serology,34.75
Total COVID-19 Tests Performed in Colorado by County,Fremont,Total Tests Performed,859
Total COVID-19 Tests Performed in Colorado by County,Fremont,Percent of tests by PCR,91.97
Total COVID-19 Tests Performed in Colorado by County,Fremont,Percent of tests by Serology,8.03
Total COVID-19 Tests Performed in Colorado by County,Garfield,Total Tests Performed,1948
Total COVID-19 Tests Performed in Colorado by County,Garfield,Percent of tests by PCR,92.45
Total COVID-19 Tests Performed in Colorado by County,Garfield,Percent of tests by Serology,7.55
Total COVID-19 Tests Performed in Colorado by County,Gilpin,Total Tests Performed,127
Total COVID-19 Tests Performed in Colorado by County,Gilpin,Percent of tests by PCR,80.31
Total COVID-19 Tests Performed in Colorado by County,Gilpin,Percent of tests by Serology,19.69
Total COVID-19 Tests Performed in Colorado by County,Grand,Total Tests Performed,598
Total COVID-19 Tests Performed in Colorado by County,Grand,Percent of tests by PCR,92.47
Total COVID-19 Tests Performed in Colorado by County,Grand,Percent of tests by Serology,7.53
Total COVID-19 Tests Performed in Colorado by County,Gunnison,Total Tests Performed,736
Total COVID-19 Tests Performed in Colorado by County,Gunnison,Percent of tests by PCR,92.53
Total COVID-19 Tests Performed in Colorado by County,Gunnison,Percent of tests by Serology,7.47
Total COVID-19 Tests Performed in Colorado by County,Hinsdale,Total Tests Performed,21
Total COVID-19 Tests Performed in Colorado by County,Hinsdale,Percent of tests by PCR,100
Total COVID-19 Tests Performed in Colorado by County,Hinsdale,Percent of tests by Serology,0
Total COVID-19 Tests Performed in Colorado by County,Huerfano,Total Tests Performed,104
Total COVID-19 Tests Performed in Colorado by County,Huerfano,Percent of tests by PCR,94.23
Total COVID-19 Tests Performed in Colorado by County,Huerfano,Percent of tests by Serology,5.77
Total COVID-19 Tests Performed in Colorado by County,Jackson,Total Tests Performed,35
Total COVID-19 Tests Performed in Colorado by County,Jackson,Percent of tests by PCR,94.29
Total COVID-19 Tests Performed in Colorado by County,Jackson,Percent of tests by Serology,5.71
Total COVID-19 Tests Performed in Colorado by County,Jefferson,Total Tests Performed,18546
Total COVID-19 Tests Performed in Colorado by County,Jefferson,Percent of tests by PCR,69.99
Total COVID-19 Tests Performed in Colorado by County,Jefferson,Percent of tests by Serology,30.01
Total COVID-19 Tests Performed in Colorado by County,Kiowa,Total Tests Performed,63
Total COVID-19 Tests Performed in Colorado by County,Kiowa,Percent of tests by PCR,93.65
Total COVID-19 Tests Performed in Colorado by County,Kiowa,Percent of tests by Serology,6.35
Total COVID-19 Tests Performed in Colorado by County,Kit Carson,Total Tests Performed,234
Total COVID-19 Tests Performed in Colorado by County,Kit Carson,Percent of tests by PCR,98.72
Total COVID-19 Tests Performed in Colorado by County,Kit Carson,Percent of tests by Serology,1.28
Total COVID-19 Tests Performed in Colorado by County,La Plata,Total Tests Performed,889
Total COVID-19 Tests Performed in Colorado by County,La Plata,Percent of tests by PCR,97.19
Total COVID-19 Tests Performed in Colorado by County,La Plata,Percent of tests by Serology,2.81
Total COVID-19 Tests Performed in Colorado by County,Lake,Total Tests Performed,746
Total COVID-19 Tests Performed in Colorado by County,Lake,Percent of tests by PCR,25.87
Total COVID-19 Tests Performed in Colorado by County,Lake,Percent of tests by Serology,74.13
Total COVID-19 Tests Performed in Colorado by County,Larimer,Total Tests Performed,12104
Total COVID-19 Tests Performed in Colorado by County,Larimer,Percent of tests by PCR,77.28
Total COVID-19 Tests Performed in Colorado by County,Larimer,Percent of tests by Serology,22.72
Total COVID-19 Tests Performed in Colorado by County,Las Animas,Total Tests Performed,183
Total COVID-19 Tests Performed in Colorado by County,Las Animas,Percent of tests by PCR,95.08
Total COVID-19 Tests Performed in Colorado by County,Las Animas,Percent of tests by Serology,4.92
Total COVID-19 Tests Performed in Colorado by County,Lincoln,Total Tests Performed,103
Total COVID-19 Tests Performed in Colorado by County,Lincoln,Percent of tests by PCR,93.2
Total COVID-19 Tests Performed in Colorado by County,Lincoln,Percent of tests by Serology,6.8
Total COVID-19 Tests Performed in Colorado by County,Logan,Total Tests Performed,2444
Total COVID-19 Tests Performed in Colorado by County,Logan,Percent of tests by PCR,86.33
Total COVID-19 Tests Performed in Colorado by County,Logan,Percent of tests by Serology,13.67
Total COVID-19 Tests Performed in Colorado by County,Mesa,Total Tests Performed,2885
Total COVID-19 Tests Performed in Colorado by County,Mesa,Percent of tests by PCR,93.07
Total COVID-19 Tests Performed in Colorado by County,Mesa,Percent of tests by Serology,6.93
Total COVID-19 Tests Performed in Colorado by County,Mineral,Total Tests Performed,17
Total COVID-19 Tests Performed in Colorado by County,Mineral,Percent of tests by PCR,100
Total COVID-19 Tests Performed in Colorado by County,Mineral,Percent of tests by Serology,0
Total COVID-19 Tests Performed in Colorado by County,Moffat,Total Tests Performed,720
Total COVID-19 Tests Performed in Colorado by County,Moffat,Percent of tests by PCR,99.31
Total COVID-19 Tests Performed in Colorado by County,Moffat,Percent of tests by Serology,0.69
Total COVID-19 Tests Performed in Colorado by County,Montezuma,Total Tests Performed,560
Total COVID-19 Tests Performed in Colorado by County,Montezuma,Percent of tests by PCR,97.86
Total COVID-19 Tests Performed in Colorado by County,Montezuma,Percent of tests by Serology,2.14
Total COVID-19 Tests Performed in Colorado by County,Montrose,Total Tests Performed,1149
Total COVID-19 Tests Performed in Colorado by County,Montrose,Percent of tests by PCR,94.6
Total COVID-19 Tests Performed in Colorado by County,Montrose,Percent of tests by Serology,5.4
Total COVID-19 Tests Performed in Colorado by County,Morgan,Total Tests Performed,2345
Total COVID-19 Tests Performed in Colorado by County,Morgan,Percent of tests by PCR,95.99
Total COVID-19 Tests Performed in Colorado by County,Morgan,Percent of tests by Serology,4.01
Total COVID-19 Tests Performed in Colorado by County,Otero,Total Tests Performed,354
Total COVID-19 Tests Performed in Colorado by County,Otero,Percent of tests by PCR,96.61
Total COVID-19 Tests Performed in Colorado by County,Otero,Percent of tests by Serology,3.39
Total COVID-19 Tests Performed in Colorado by County,Ouray,Total Tests Performed,143
Total COVID-19 Tests Performed in Colorado by County,Ouray,Percent of tests by PCR,75.52
Total COVID-19 Tests Performed in Colorado by County,Ouray,Percent of tests by Serology,24.48
Total COVID-19 Tests Performed in Colorado by County,Out Of State,Total Tests Performed,1962
Total COVID-19 Tests Performed in Colorado by County,Out Of State,Percent of tests by PCR,100
Total COVID-19 Tests Performed in Colorado by County,Out Of State,Percent of tests by Serology,0
Total COVID-19 Tests Performed in Colorado by County,Park,Total Tests Performed,398
Total COVID-19 Tests Performed in Colorado by County,Park,Percent of tests by PCR,79.9
Total COVID-19 Tests Performed in Colorado by County,Park,Percent of tests by Serology,20.1
Total COVID-19 Tests Performed in Colorado by County,Phillips,Total Tests Performed,124
Total COVID-19 Tests Performed in Colorado by County,Phillips,Percent of tests by PCR,93.55
Total COVID-19 Tests Performed in Colorado by County,Phillips,Percent of tests by Serology,6.45
Total COVID-19 Tests Performed in Colorado by County,Pitkin,Total Tests Performed,744
Total COVID-19 Tests Performed in Colorado by County,Pitkin,Percent of tests by PCR,66.94
Total COVID-19 Tests Performed in Colorado by County,Pitkin,Percent of tests by Serology,33.06
Total COVID-19 Tests Performed in Colorado by County,Prowers,Total Tests Performed,265
Total COVID-19 Tests Performed in Colorado by County,Prowers,Percent of tests by PCR,96.23
Total COVID-19 Tests Performed in Colorado by County,Prowers,Percent of tests by Serology,3.77
Total COVID-19 Tests Performed in Colorado by County,Pueblo,Total Tests Performed,5535
Total COVID-19 Tests Performed in Colorado by County,Pueblo,Percent of tests by PCR,90.46
Total COVID-19 Tests Performed in Colorado by County,Pueblo,Percent of tests by Serology,9.54
Total COVID-19 Tests Performed in Colorado by County,Rio Blanco,Total Tests Performed,170
Total COVID-19 Tests Performed in Colorado by County,Rio Blanco,Percent of tests by PCR,87.65
Total COVID-19 Tests Performed in Colorado by County,Rio Blanco,Percent of tests by Serology,12.35
Total COVID-19 Tests Performed in Colorado by County,Rio Grande,Total Tests Performed,167
Total COVID-19 Tests Performed in Colorado by County,Rio Grande,Percent of tests by PCR,96.41
Total COVID-19 Tests Performed in Colorado by County,Rio Grande,Percent of tests by Serology,3.59
Total COVID-19 Tests Performed in Colorado by County,Routt,Total Tests Performed,1703
Total COVID-19 Tests Performed in Colorado by County,Routt,Percent of tests by PCR,93.25
Total COVID-19 Tests Performed in Colorado by County,Routt,Percent of tests by Serology,6.75
Total COVID-19 Tests Performed in Colorado by County,Saguache,Total Tests Performed,78
Total COVID-19 Tests Performed in Colorado by County,Saguache,Percent of tests by PCR,92.31
Total COVID-19 Tests Performed in Colorado by County,Saguache,Percent of tests by Serology,7.69
Total COVID-19 Tests Performed in Colorado by County,San Juan,Total Tests Performed,19
Total COVID-19 Tests Performed in Colorado by County,San Juan,Percent of tests by PCR,31.58
Total COVID-19 Tests Performed in Colorado by County,San Juan,Percent of tests by Serology,68.42
Total COVID-19 Tests Performed in Colorado by County,San Miguel,Total Tests Performed,273
Total COVID-19 Tests Performed in Colorado by County,San Miguel,Percent of tests by PCR,94.51
Total COVID-19 Tests Performed in Colorado by County,San Miguel,Percent of tests by Serology,5.49
Total COVID-19 Tests Performed in Colorado by County,Sedgwick,Total Tests Performed,47
Total COVID-19 Tests Performed in Colorado by County,Sedgwick,Percent of tests by PCR,93.62
Total COVID-19 Tests Performed in Colorado by County,Sedgwick,Percent of tests by Serology,6.38
Total COVID-19 Tests Performed in Colorado by County,Summit,Total Tests Performed,1403
Total COVID-19 Tests Performed in Colorado by County,Summit,Percent of tests by PCR,75.91
Total COVID-19 Tests Performed in Colorado by County,Summit,Percent of tests by Serology,24.09
Total COVID-19 Tests Performed in Colorado by County,Teller,Total Tests Performed,845
Total COVID-19 Tests Performed in Colorado by County,Teller,Percent of tests by PCR,87.34
Total COVID-19 Tests Performed in Colorado by County,Teller,Percent of tests by Serology,12.66
Total COVID-19 Tests Performed in Colorado by County,Unknown,Total Tests Performed,6908
Total COVID-19 Tests Performed in Colorado by County,Unknown,Percent of tests by PCR,95.63
Total COVID-19 Tests Performed in Colorado by County,Unknown,Percent of tests by Serology,4.37
Total COVID-19 Tests Performed in Colorado by County,Washington,Total Tests Performed,218
Total COVID-19 Tests Performed in Colorado by County,Washington,Percent of tests by PCR,90.37
Total COVID-19 Tests Performed in Colorado by County,Washington,Percent of tests by Serology,9.63
Total COVID-19 Tests Performed in Colorado by County,Weld,Total Tests Performed,15557
Total COVID-19 Tests Performed in Colorado by County,Weld,Percent of tests by PCR,84.74
Total COVID-19 Tests Performed in Colorado by County,Weld,Percent of tests by Serology,15.26
Total COVID-19 Tests Performed in Colorado by County,Yuma,Total Tests Performed,288
Total COVID-19 Tests Performed in Colorado by County,Yuma,Percent of tests by PCR,97.57
Total COVID-19 Tests Performed in Colorado by County,Yuma,Percent of tests by Serology,2.43
Total COVID-19 Tests Performed in Colorado by County,Note,Individuals with serology-positive tests are not included in daily case counts until they are confirmed to have had COVID-like symptoms.,NA
Total COVID-19 Tests Performed in Colorado by County,Note,Includes only tests from labs that participate in electronic lab reporting.,NA
"Total Testing Rate Per 100,000 People in Colorado by County",Adams,"Rate per 100,000",3343.09
"Total Testing Rate Per 100,000 People in Colorado by County",Alamosa,"Rate per 100,000",3398.42
"Total Testing Rate Per 100,000 People in Colorado by County",Arapahoe,"Rate per 100,000",3761
"Total Testing Rate Per 100,000 People in Colorado by County",Archuleta,"Rate per 100,000",1310.33
"Total Testing Rate Per 100,000 People in Colorado by County",Baca,"Rate per 100,000",2424.58
"Total Testing Rate Per 100,000 People in Colorado by County",Bent,"Rate per 100,000",3660.42
"Total Testing Rate Per 100,000 People in Colorado by County",Boulder,"Rate per 100,000",3206.38
"Total Testing Rate Per 100,000 People in Colorado by County",Broomfield,"Rate per 100,000",2943
"Total Testing Rate Per 100,000 People in Colorado by County",Chaffee,"Rate per 100,000",2895.95
